img_id,path,label,is_train
1114,020.Yellow_breasted_Chat/Yellow_Breasted_Chat_0097_21748.jpg,20,1
1243,023.Brandt_Cormorant/Brandt_Cormorant_0052_23356.jpg,23,0
1268,023.Brandt_Cormorant/Brandt_Cormorant_0036_22937.jpg,23,0
1280,023.Brandt_Cormorant/Brandt_Cormorant_0035_23000.jpg,23,1
1285,023.Brandt_Cormorant/Brandt_Cormorant_0084_23265.jpg,23,0
1353,025.Pelagic_Cormorant/Pelagic_Cormorant_0035_23849.jpg,25,1
2256,040.Olive_sided_Flycatcher/Olive_Sided_Flycatcher_0074_30816.jpg,40,0
2899,051.Horned_Grebe/Horned_Grebe_0039_34848.jpg,51,1
2902,051.Horned_Grebe/Horned_Grebe_0045_34859.jpg,51,0
4096,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0008_797066.jpg,71,1
4138,072.Pomarine_Jaeger/Pomarine_Jaeger_0030_61447.jpg,72,0
4201,073.Blue_Jay/Blue_Jay_0095_63505.jpg,73,1
4221,073.Blue_Jay/Blue_Jay_0042_61545.jpg,73,1
4223,073.Blue_Jay/Blue_Jay_0051_63339.jpg,73,1
4245,073.Blue_Jay/Blue_Jay_0101_62882.jpg,73,0
4650,080.Green_Kingfisher/Green_Kingfisher_0045_71064.jpg,80,0
4667,080.Green_Kingfisher/Green_Kingfisher_0001_71138.jpg,80,0
4797,083.White_breasted_Kingfisher/White_Breasted_Kingfisher_0023_73230.jpg,83,0
4893,084.Red_legged_Kittiwake/Red_Legged_Kittiwake_0071_73800.jpg,84,1
5362,092.Nighthawk/Nighthawk_0058_83270.jpg,92,1
6159,106.Horned_Puffin/Horned_Puffin_0027_100906.jpg,106,0
6181,106.Horned_Puffin/Horned_Puffin_0004_100733.jpg,106,1
6278,108.White_necked_Raven/White_Necked_Raven_0009_102518.jpg,108,0
6321,108.White_necked_Raven/White_Necked_Raven_0070_102645.jpg,108,0
6466,111.Loggerhead_Shrike/Loggerhead_Shrike_0069_73908.jpg,111,0
6526,112.Great_Grey_Shrike/Great_Grey_Shrike_0011_106852.jpg,112,0
6760,116.Chipping_Sparrow/Chipping_Sparrow_0090_14718.jpg,116,0
7879,135.Bank_Swallow/Bank_Swallow_0008_129590.jpg,135,0
7887,135.Bank_Swallow/Bank_Swallow_0041_129625.jpg,135,0
8001,137.Cliff_Swallow/Cliff_Swallow_0005_133696.jpg,137,1
8004,137.Cliff_Swallow/Cliff_Swallow_0028_132365.jpg,137,1
8011,137.Cliff_Swallow/Cliff_Swallow_0099_133948.jpg,137,0
8022,137.Cliff_Swallow/Cliff_Swallow_0083_133771.jpg,137,0
8030,137.Cliff_Swallow/Cliff_Swallow_0085_134338.jpg,137,0
8038,137.Cliff_Swallow/Cliff_Swallow_0065_133858.jpg,137,1
8042,137.Cliff_Swallow/Cliff_Swallow_0011_133033.jpg,137,1
8073,138.Tree_Swallow/Tree_Swallow_0039_135038.jpg,138,0
8302,142.Black_Tern/Black_Tern_0061_143959.jpg,142,1
8332,142.Black_Tern/Black_Tern_0102_144344.jpg,142,0
8469,145.Elegant_Tern/Elegant_Tern_0096_151068.jpg,145,0
8470,145.Elegant_Tern/Elegant_Tern_0034_45914.jpg,145,1
8483,145.Elegant_Tern/Elegant_Tern_0070_147548.jpg,145,1
8494,145.Elegant_Tern/Elegant_Tern_0008_145044.jpg,145,1
8519,145.Elegant_Tern/Elegant_Tern_0082_150517.jpg,145,0
8632,147.Least_Tern/Least_Tern_0006_153921.jpg,147,1
9670,165.Chestnut_sided_Warbler/Chestnut_Sided_Warbler_0018_164148.jpg,165,1
9780,167.Hooded_Warbler/Hooded_Warbler_0129_90165.jpg,167,1
9797,167.Hooded_Warbler/Hooded_Warbler_0078_165123.jpg,167,1
9809,167.Hooded_Warbler/Hooded_Warbler_0050_164662.jpg,167,0
9810,167.Hooded_Warbler/Hooded_Warbler_0014_164672.jpg,167,1
9820,167.Hooded_Warbler/Hooded_Warbler_0036_164779.jpg,167,0
9870,168.Kentucky_Warbler/Kentucky_Warbler_0036_795872.jpg,168,0
10056,171.Myrtle_Warbler/Myrtle_Warbler_0063_93378.jpg,171,0
10203,174.Palm_Warbler/Palm_Warbler_0092_170604.jpg,174,1
10224,174.Palm_Warbler/Palm_Warbler_0066_169284.jpg,174,0
10492,179.Tennessee_Warbler/Tennessee_Warbler_0030_172338.jpg,179,1
10537,179.Tennessee_Warbler/Tennessee_Warbler_0013_163552.jpg,179,0
11216,191.Red_headed_Woodpecker/Red_Headed_Woodpecker_0068_183662.jpg,191,1
11340,193.Bewick_Wren/Bewick_Wren_0123_185069.jpg,193,0
11695,199.Winter_Wren/Winter_Wren_0127_190091.jpg,199,0
